Email,Status
"অবিশ্বাস্য ডিসকাউন্ট! ১০০% পর্যন্ত ছাড় পেতে এখনই শপিং করুন।",spam
"আপনার মোবাইলে ২০০ টাকা ফ্রি রিচার্জ পেতে এখনই লিঙ্কে ক্লিক করুন।",spam
"আপনার ফেসবুক অ্যাকাউন্ট ভেরিফিকেশন করতে এখনই এই লিঙ্কে ক্লিক করুন।",spam
"১০০০০ টাকা জেতার সুযোগ! এখনই আমাদের অফারে অংশগ্রহণ করুন।",spam
"আপনার মোবাইল নম্বর যাচাই করতে এখনই লিঙ্কে ক্লিক করুন এবং পুরস্কার জিতুন।",spam
"আপনার ক্রেডিট কার্ড আপডেট করতে এখনই ক্লিক করুন। এটি জরুরি।",spam
"আপনার ডেবিট কার্ডের পিন রিসেট করতে এখানে ক্লিক করুন।",spam
"অবিশ্বাস্য অফার! এখনই ৫০% ছাড়ে শপিং করতে ক্লিক করুন।",spam
"আপনার ব্যাংক অ্যাকাউন্ট সুরক্ষিত করতে এখনই পাসওয়ার্ড পরিবর্তন করুন।",spam
"ফ্রি মিনিট পেতে আপনার মোবাইল নম্বর যাচাই করুন এবং পুরস্কার পান।",spam
"অবিশ্বাস্য অফার! ১০০% ক্যাশব্যাক পেতে এখনই ক্লিক করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে লিঙ্কে ক্লিক করুন।",spam
"ফ্রি রিচার্জ পেতে এখনই লিঙ্কে ক্লিক করুন এবং অফার গ্রহণ করুন।",spam
"আপনার ক্রেডিট কার্ডের সীমা বাড়ানোর জন্য আবেদন করুন। লিঙ্কে ক্লিক করুন।",spam
"ফ্রি গিফট কার্ড পেতে আমাদের বিশেষ অফারে অংশগ্রহণ করুন।",spam
"আপনার পাসওয়ার্ড রিসেট করতে এখনই লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! এখনই ৫০০ টাকা ফ্রি পেতে লিঙ্কে ক্লিক করুন।",spam
"আপনার ব্যাংক অ্যাকাউন্টের নিরাপত্তা ঝুঁকি! এখনই লগইন করে আপডেট করুন।",spam
"অবিশ্বাস্য ছাড়! এখনই লিঙ্কে ক্লিক করুন এবং ৭০% ছাড় পান।",spam
"আপনার মোবাইলে ফ্রি ইন্টারনেট পেতে এখনই ক্লিক করুন।",spam
"এখনই আমাদের সার্ভে পূরণ করুন এবং ১০০০ টাকা জেতার সুযোগ পান।",spam
"আপনার ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। এখনই পাসওয়ার্ড পরিবর্তন করুন।",spam
"ফ্রি ডেলিভারি পেতে এখনই অর্ডার করুন। সীমিত সময়ের অফার।",spam
"আপনার ক্রেডিট কার্ড ব্যবহার করে এখনই ৫০০০ টাকা জিতুন।",spam
"আপনার মোবাইলের ব্যালেন্স ফ্রি পেতে এখানে ক্লিক করুন।",spam
"আপনার পাসওয়ার্ড পুনরুদ্ধার করতে এখানে ক্লিক করুন।",spam
"অবিশ্বাস্য অফার! ৮০% ছাড়ে প্রোডাক্ট কিনতে এখনই ক্লিক করুন।",spam
"ফ্রি গিফট পেতে আমাদের নিউজলেটারে সাবস্ক্রাইব করুন।",spam
"আপনার অ্যাকাউন্ট সুরক্ষিত করতে এখনই লিঙ্কে ক্লিক করে ভেরিফিকেশন সম্পন্ন করুন।",spam
"ফ্রি রিচার্জ পেতে এখনই লিঙ্কে ক্লিক করুন এবং নম্বর আপডেট করুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! আমাদের নতুন প্রোডাক্টে ৭০% ছাড় পেতে এখনই অর্ডার করুন।",spam
"ফ্রি মোবাইল মিনিট পেতে এখনই ক্লিক করুন।",spam
"আপনার ক্রেডিট কার্ডের লিমিট আপগ্রেড করতে এখানে ক্লিক করুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! এখনই ক্লিক করুন এবং ৬০% ছাড় পান।",spam
"ফ্রি ডাটা পেতে এখনই আমাদের অফার গ্রহণ করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট পুনরুদ্ধার করতে এখনই ক্লিক করুন।",spam
"ফ্রি মোবাইল চার্জিং পেতে লিঙ্কে ক্লিক করুন এবং অফার গ্রহণ করুন।",spam
"আপনার অ্যাকাউন্ট সুরক্ষিত করতে এখনই লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য অফার! এখনই ১০০০০ টাকা পর্যন্ত ছাড় পেতে লিঙ্কে ক্লিক করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট রিসেট করতে এখানে ক্লিক করুন।",spam
"অফার শেষ হওয়ার আগেই ফ্রি গিফট পেতে এখনই ক্লিক করুন।",spam
"আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন এবং ফ্রি রিচার্জ পান।",spam
"অবিশ্বাস্য ডিসকাউন্ট! ৮০% ছাড়ে পণ্য কিনতে এখনই অর্ডার করুন।",spam
"আপনার পাসওয়ার্ড আপডেট করতে এখনই ক্লিক করুন।",spam
"ফ্রি ক্যাশব্যাক পেতে আমাদের বিশেষ অফার গ্রহণ করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট পুনরায় সক্রিয় করতে এখনই ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! এখনই এই লিঙ্কে ক্লিক করে পুরস্কার জিতুন।",spam
"আপনার ফেসবুক পাসওয়ার্ড আপডেট করতে এখনই ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! ৫০০০ টাকা জিততে এখনই অংশ নিন।",spam
"ফ্রি গিফট কার্ড পেতে আমাদের অফারে অংশগ্রহণ করুন।",spam
"অবিশ্বাস্য সুযোগ! এখনই এই লিঙ্কে ক্লিক করে ১০০০০ টাকা জিতুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্টের তথ্য আপডেট করতে এখনই এই লিঙ্কে ক্লিক করুন।",spam
"ফ্রি মোবাইল ফোন পেতে এখনই লিঙ্কে ক্লিক করুন। সীমিত সময়ের অফার।",spam
"আপনার পাসওয়ার্ড পরিবর্তন করতে এখানে ক্লিক করুন। নিরাপত্তার জন্য এটি জরুরি।",spam
"আপনি ৫০০০ টাকা পর্যন্ত ক্যাশব্যাক পেতে পারেন! এখনই লিঙ্কে ক্লিক করুন।",spam
"আপনার ক্রেডিট কার্ড লিমিট বাড়ানোর জন্য আবেদন করতে এখনই ক্লিক করুন।",spam
"এখনই রেজিস্টার করুন এবং ৭৫% ছাড়ে শপিং করুন! সীমিত সময়ের অফার।",spam
"আপনার অ্যাকাউন্টে সন্দেহজনক কার্যক্রম পাওয়া গেছে। এখনই লগইন করে সুরক্ষিত করুন।",spam
"ফ্রি ডাটা পেতে লিঙ্কে ক্লিক করুন এবং আপনার নম্বর যাচাই করুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! ১০০% পর্যন্ত ছাড় পেতে এখনই শপিং করুন।",spam
"অবিশ্বাস্য অফার! ১০০% ক্যাশব্যাক পেতে এখনই ক্লিক করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট ব্লক করা হয়েছে। পুনরায় সক্রিয় করতে লিঙ্কে ক্লিক করুন।",spam
"ফ্রি রিচার্জ পেতে এখনই লিঙ্কে ক্লিক করুন এবং অফার গ্রহণ করুন।",spam
"আপনার ক্রেডিট কার্ডের সীমা বাড়ানোর জন্য আবেদন করুন। লিঙ্কে ক্লিক করুন।",spam
"ফ্রি গিফট কার্ড পেতে আমাদের বিশেষ অফারে অংশগ্রহণ করুন।",spam
"আপনার পাসওয়ার্ড রিসেট করতে এখনই লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! এখনই ৫০০ টাকা ফ্রি পেতে লিঙ্কে ক্লিক করুন।",spam
"আপনার ব্যাংক অ্যাকাউন্টের নিরাপত্তা ঝুঁকি! এখনই লগইন করে আপডেট করুন।",spam
"অবিশ্বাস্য ছাড়! এখনই লিঙ্কে ক্লিক করুন এবং ৭০% ছাড় পান।",spam
"আপনার মোবাইলে ফ্রি ইন্টারনেট পেতে এখনই ক্লিক করুন।",spam
"এখনই আমাদের সার্ভে পূরণ করুন এবং ১০০০ টাকা জেতার সুযোগ পান।",spam
"আপনার ব্যাংক অ্যাকাউন্টে সমস্যা হয়েছে। এখনই পাসওয়ার্ড পরিবর্তন করুন।",spam
"ফ্রি ডেলিভারি পেতে এখনই অর্ডার করুন। সীমিত সময়ের অফার।",spam
"আপনার ক্রেডিট কার্ড ব্যবহার করে এখনই ৫০০০ টাকা জিতুন।",spam
"আপনার মোবাইলের ব্যালেন্স ফ্রি পেতে এখানে ক্লিক করুন।",spam
"আপনার পাসওয়ার্ড পুনরুদ্ধার করতে এখানে ক্লিক করুন।",spam
"অবিশ্বাস্য অফার! ৮০% ছাড়ে প্রোডাক্ট কিনতে এখনই ক্লিক করুন।",spam
"ফ্রি গিফট পেতে আমাদের নিউজলেটারে সাবস্ক্রাইব করুন।",spam
"আপনার অ্যাকাউন্ট সুরক্ষিত করতে এখনই লিঙ্কে ক্লিক করে ভেরিফিকেশন সম্পন্ন করুন।",spam
"ফ্রি রিচার্জ পেতে এখনই লিঙ্কে ক্লিক করুন এবং নম্বর আপডেট করুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! আমাদের নতুন প্রোডাক্টে ৭০% ছাড় পেতে এখনই অর্ডার করুন।",spam
"ফ্রি মোবাইল মিনিট পেতে এখনই ক্লিক করুন।",spam
"আপনার ক্রেডিট কার্ডের লিমিট আপগ্রেড করতে এখানে ক্লিক করুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! এখনই ক্লিক করুন এবং ৬০% ছাড় পান।",spam
"ফ্রি ডাটা পেতে এখনই আমাদের অফার গ্রহণ করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট পুনরুদ্ধার করতে এখনই ক্লিক করুন।",spam
"ফ্রি মোবাইল চার্জিং পেতে লিঙ্কে ক্লিক করুন এবং অফার গ্রহণ করুন।",spam
"আপনার অ্যাকাউন্ট সুরক্ষিত করতে এখনই লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য অফার! এখনই ১০০০০ টাকা পর্যন্ত ছাড় পেতে লিঙ্কে ক্লিক করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট রিসেট করতে এখানে ক্লিক করুন।",spam
"অফার শেষ হওয়ার আগেই ফ্রি গিফট পেতে এখনই ক্লিক করুন।",spam
"আপনার মোবাইল নম্বর যাচাই করতে এখানে ক্লিক করুন এবং ফ্রি রিচার্জ পান।",spam
"অবিশ্বাস্য ডিসকাউন্ট! ৮০% ছাড়ে পণ্য কিনতে এখনই অর্ডার করুন।",spam
"আপনার পাসওয়ার্ড আপডেট করতে এখনই ক্লিক করুন।",spam
"ফ্রি ক্যাশব্যাক পেতে আমাদের বিশেষ অফার গ্রহণ করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট পুনরায় সক্রিয় করতে এখনই ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! এখনই এই লিঙ্কে ক্লিক করে পুরস্কার জিতুন।",spam
"আপনার ফেসবুক পাসওয়ার্ড আপডেট করতে এখনই ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! ৫০০০ টাকা জিততে এখনই অংশ নিন।",spam
"ফ্রি গিফট কার্ড পেতে আমাদের অফারে অংশগ্রহণ করুন।",spam
"আপনার ক্রেডিট কার্ডে ফ্রি পয়েন্ট পেতে এখনই ক্লিক করুন।",spam
"ফ্রি সিমকার্ড পেতে আমাদের সার্ভে পূরণ করুন।",spam
"আপনার মোবাইল রিচার্জ পেতে এখনই ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! এখনই শপিং করে ৫০% ছাড় পান।",spam
"আপনার অ্যাকাউন্ট পুনরায় সক্রিয় করতে লিঙ্কে ক্লিক করুন।",spam
"ফ্রি রিচার্জ পেতে এখনই এই লিঙ্কে ক্লিক করুন।",spam
"অফার শেষ হওয়ার আগে এখনই ১০০% ক্যাশব্যাক পেতে ক্লিক করুন।",spam
"আপনার মোবাইলের ফ্রি মিনিট পেতে লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! ৭৫% ছাড়ে আমাদের নতুন পণ্য কিনুন।",spam
"আপনার ক্রেডিট কার্ডের সীমা বাড়াতে এখানে ক্লিক করুন।",spam
"ফ্রি গিফট পেতে আমাদের অফারে অংশগ্রহণ করুন।",spam
"আপনার পাসওয়ার্ড রিসেট করতে এখনই ক্লিক করুন।",spam
"আপনার মোবাইলে ফ্রি ইন্টারনেট পেতে লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য অফার! ৭০% ছাড়ে শপিং করতে এখনই ক্লিক করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট সুরক্ষিত করতে এখনই লগইন করুন।",spam
"ফ্রি গিফট কার্ড পেতে লিঙ্কে ক্লিক করুন।",spam
"আপনার মোবাইল নম্বর আপডেট করতে লিঙ্কে ক্লিক করুন এবং ৫০০ টাকা জিতুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! ১০০০০ টাকা পর্যন্ত ছাড় পেতে এখনই ক্লিক করুন।",spam
"আপনার ক্রেডিট কার্ডের পয়েন্ট আপডেট করতে লিঙ্কে ক্লিক করুন।",spam
"ফ্রি সিমকার্ড পেতে আমাদের অফারে অংশ নিন।",spam
"ফ্রি ক্যাশব্যাক পেতে এখনই লিঙ্কে ক্লিক করুন এবং শপিং করুন।",spam
"আপনার মোবাইলে ফ্রি রিচার্জ পেতে এখনই এই লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য অফার! আমাদের নতুন প্রোডাক্টে ৬০% ছাড় পেতে ক্লিক করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্টের নিরাপত্তা আপডেট করতে লিঙ্কে ক্লিক করুন।",spam
"ফ্রি ইন্টারনেট পেতে এখনই এই লিঙ্কে ক্লিক করুন এবং উপভোগ করুন।",spam
"আপনার ফেসবুক পাসওয়ার্ড পরিবর্তন করতে এখনই ক্লিক করুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! ৫০% ছাড়ে আমাদের পণ্য কিনতে এখনই অর্ডার করুন।",spam
"আপনার ক্রেডিট কার্ডের সীমা বাড়ানোর জন্য ফ্রি অ্যাপ্লিকেশন করুন।",spam
"ফ্রি গিফট পেতে আমাদের বিশেষ অফার গ্রহণ করুন।",spam
"আপনার মোবাইল ব্যালেন্স ফ্রি রিচার্জ করতে এখনই ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! এখনই এই লিঙ্কে ক্লিক করে ১০০০ টাকা জিতুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্টের তথ্য আপডেট করতে এখনই লগইন করুন।",spam
"ফ্রি সিমকার্ড পেতে এখনই আমাদের সার্ভে পূরণ করুন।",spam
"আপনার ক্রেডিট কার্ডের পয়েন্ট ব্যবহার করতে এখানে ক্লিক করুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! ১০০% পর্যন্ত ছাড় পেতে এখনই শপিং করুন।",spam
"আপনার মোবাইলে ফ্রি ইন্টারনেট উপভোগ করতে এখনই লিঙ্কে ক্লিক করুন।",spam
"ফ্রি ক্যাশব্যাক পেতে আমাদের বিশেষ অফারে অংশ নিন।",spam
"আপনার পাসওয়ার্ড রিসেট করতে এখনই লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য অফার! এখনই ৭৫% ছাড়ে পণ্য কিনতে ক্লিক করুন।",spam
"আপনার ব্যাংক অ্যাকাউন্টের নিরাপত্তা নিশ্চিত করতে লিঙ্কে ক্লিক করে লগইন করুন।",spam
"ফ্রি মোবাইল ডেটা পেতে এখনই লিঙ্কে ক্লিক করুন এবং পুরস্কার জিতুন।",spam
"আপনার অ্যাকাউন্ট আপডেট করতে এখনই লগইন করুন এবং পুরস্কার পান।",spam
"অবিশ্বাস্য অফার! ৫০% ছাড় পেতে আমাদের নতুন প্রোডাক্টে ক্লিক করুন।",spam
"ফ্রি মোবাইল মিনিট পেতে লিঙ্কে ক্লিক করে অফার গ্রহণ করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্টের পাসওয়ার্ড রিসেট করতে এখনই ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! ফ্রি মোবাইল পেতে আমাদের অফারে অংশ নিন।",spam
"আপনার ক্রেডিট কার্ড লিমিট বাড়াতে এখনই আবেদন করুন।",spam
"ফ্রি রিচার্জ পেতে লিঙ্কে ক্লিক করে আপনার নম্বর যাচাই করুন।",spam
"অবিশ্বাস্য অফার! এখনই ১০০০০ টাকা পর্যন্ত ছাড় পেতে ক্লিক করুন।",spam
"আপনার মোবাইল নম্বর যাচাই করতে লিঙ্কে ক্লিক করুন এবং পুরস্কার পান।",spam
"ফ্রি গিফট কার্ড পেতে আমাদের সার্ভে পূরণ করুন।",spam
"আপনার ব্যাংক অ্যাকাউন্ট পুনরায় সক্রিয় করতে এখনই লগইন করুন।",spam
"ফ্রি মোবাইল ডেটা পেতে এখনই লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য অফার! আমাদের নতুন পণ্যে ৬০% ছাড় পেতে এখনই অর্ডার করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট সুরক্ষিত করতে এখনই পাসওয়ার্ড পরিবর্তন করুন।",spam
"ফ্রি মোবাইল মিনিট পেতে এখনই আমাদের বিশেষ অফার গ্রহণ করুন।",spam
"অবিশ্বাস্য ডিসকাউন্ট! ৭০% পর্যন্ত ছাড় পেতে এখনই শপিং করুন।",spam
"আপনার ক্রেডিট কার্ড আপডেট করতে এখনই লিঙ্কে ক্লিক করুন।",spam
"ফ্রি গিফট কার্ড পেতে আমাদের বিশেষ অফারে অংশ নিন।",spam
"আপনার মোবাইলের ফ্রি রিচার্জ পেতে এখনই লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য অফার! ৫০০০ টাকা পর্যন্ত ছাড় পেতে লিঙ্কে ক্লিক করুন।",spam
"আপনার ব্যাঙ্ক অ্যাকাউন্ট পুনরুদ্ধার করতে এখনই লগইন করুন।",spam
"ফ্রি সিমকার্ড পেতে আমাদের অফারে অংশগ্রহণ করুন।",spam
"আপনার পাসওয়ার্ড পুনরায় সেট করতে এখনই লিঙ্কে ক্লিক করুন।",spam
"অবিশ্বাস্য সুযোগ! ১০০০০ টাকা জেতার জন্য এখনই অংশ নিন।",spam
"অবিশ্বাস্য সুযোগ! ফ্রি গিফট পেতে এখনই আমাদের অফারে অংশ নিন।",spam
